n_walkers,n_steps,cpu_time,error,std
50,200,0.3851828575134277,0.1546844890939933,0.1840149523476672
50,248,0.4688272476196289,0.1062418223115474,0.1299939992427647
50,296,0.5876216888427734,0.0899691909095269,0.0928566762923629
50,344,0.6602935791015625,0.0773000106262281,0.0766057479650376
50,392,0.7572002410888672,0.0568047009506599,0.0603341877503435
50,440,0.8405699729919434,0.0528435983536398,0.0458731767422172
50,488,0.9229259490966796,0.0492938095150825,0.0444671303648363
50,1064,1.0736186504364014,0.0169919297430813,0.0287577985656326
50,536,1.0188298225402832,0.0402949081984923,0.04591626699224
50,584,1.101104497909546,0.0367160325439792,0.037588471744313
50,632,1.210991144180298,0.0293538727654443,0.0355542221469116
50,680,1.2733492851257324,0.0286772325833542,0.0354433921976399
50,1352,1.3382751941680908,0.0068555947108802,0.0253679976195181
50,824,1.3613686561584473,0.0298348135879383,0.032608506069357
50,728,1.4007818698883057,0.0331623889897675,0.0400550285410788
50,776,1.4713480472564695,0.0316659711941207,0.0383982110831018
50,1208,1.522338628768921,0.009841467034645,0.0270475653447359
54,200,0.220947265625,0.0530513181347763,0.2666165577599
50,872,1.6599602699279783,0.0278419836348934,0.0313701594340226
50,920,1.773118019104004,0.025817374845407,0.0322274762958822
50,1880,2.015929937362671,0.0139685253184773,0.0241084243366868
50,968,1.869357109069824,0.0227831879904587,0.031067568025407
50,1928,2.05190110206604,0.014414166112253,0.0233578708780349
54,344,0.3785035610198974,0.0041564475908222,0.1098627227960567
54,248,0.5245101451873779,0.0175851104297657,0.1966182697568728
50,2024,2.1654059886932373,0.0119902317550545,0.0206646188222379
54,392,0.4373092651367187,0.007949051618576,0.0917707686258193
50,1112,2.03594183921814,0.0149797682463589,0.0302749397348887
50,1016,2.0365309715271,0.0203520721374921,0.0282452909352623
50,2120,2.251598834991455,0.0091771184628153,0.0206157918469035
54,296,0.6216890811920166,0.0187459739815741,0.1476340094447759
50,2216,2.390542268753052,0.0084588411097159,0.0248894483003846
50,2264,2.392036437988281,0.0086775372799309,0.0243361432767901
